metric,gain_ratio
nan_gradient_mmd_rbf,0.029029596
nan_weight_ks_p,0.029029596
nan_weight_euclidean_distance,0.029029596
nan_weight_manhatttan_distance,0.029029596
nan_weight_mmd_rbf,0.029029596
nan_loss_mean,0.029029596
nan_loss_max,0.029029596
nan_gradient_mean,0.029029596
nan_weight_mean,0.029029596
diff_nan_loss_mean,0.029029596
diff_nan_loss_max,0.029029596
diff_nan_gradient_mean,0.029029596
diff_nan_weight_mean,0.029029596
nan_gradient_std,0.028668187
nan_gradient_var,0.028668187
nan_gradient_sem,0.028668187
nan_weight_std,0.028668187
nan_weight_var,0.028668187
nan_weight_sem,0.028668187
diff_nan_gradient_std,0.028668187
diff_nan_gradient_var,0.028668187
diff_nan_gradient_sem,0.028668187
diff_nan_weight_std,0.028668187
diff_nan_weight_var,0.028668187
diff_nan_weight_sem,0.028668187
large_weight_manhatttan_distance,0.028477373
large_weight_euclidean_distance,0.028477373
diff_vanish_gradient_min,0.027767924
nan_loss_skew,0.027722775
diff_nan_loss_skew,0.027722775
diff_large_weight_std,0.027692784
diff_large_weight_var,0.027692784
diff_large_weight_sem,0.027692784
nan_gradient_skew,0.027524682
nan_weight_skew,0.027524682
diff_nan_gradient_skew,0.027524682
diff_nan_weight_skew,0.027524682
cons_std_weight_cosine_similarity,0.027295064
cons_mean_weight_cosine_similarity,0.02698784
cons_mean_weight_std,0.026866903
cons_mean_weight_sem,0.026866903
cons_mean_weight_var,0.026847267
explode_gradient_cosine_similarity,0.026745015
cons_std_weight_euclidean_distance,0.02606384
diff_cons_std_weight_max,0.025380826
diff_cons_std_weight_median,0.025179172
cons_std_weight_manhatttan_distance,0.025167728
cons_mean_weight_skew,0.02515051
cons_mean_weight_euclidean_distance,0.024991778
diff_large_weight_median,0.024738525
diff_cons_mean_weight_median,0.024736159
cons_std_weight_var,0.02471611
cons_std_weight_std,0.024637926
cons_std_weight_sem,0.024632524
cons_mean_weight_median,0.024271895
explode_gradient_mmd_rbf,0.024135984
diff_increase_loss_median,0.023757536
test_not_well_euclidean_distance,0.02317971
cons_mean_weight_mean,0.023113887
diff_increase_loss_max,0.023045601
cons_std_weight_mean,0.022938688
test_not_well_median,0.022473226
cons_mean_weight_max,0.02198903
cons_mean_weight_manhatttan_distance,0.021726548
cons_std_weight_median,0.021542279
cons_std_weight_max,0.021304111
increase_loss_min,0.021002441
test_not_well_manhatttan_distance,0.020966976
large_weight_cosine_similarity,0.020743924
diff_explode_gradient_median,0.020337426
increase_loss_ks_p,0.020010916
diff_cons_mean_weight_max,0.020001835
diff_test_not_well_max,0.019127722
diff_test_not_well_median,0.017483102
cons_mean_weight_mmd_rbf,0.017090706
vanish_gradient_mmd_rbf,0.015591778
diff_increase_loss_min,0.013547951
increase_loss_median,0.013483711
large_weight_mean,0.013091349
large_weight_mmd_rbf,0.011830633
large_weight_max,0.011425796
increase_loss_max,0.011386305
large_weight_median,0.011282524
increase_loss_mean,0.01122937
increase_loss_var,0.009703757
increase_loss_std,0.008628718
increase_loss_sem,0.008628718
cons_std_weight_mmd_rbf,0.008465551
test_not_well_mmd_rbf,0.008235301
increase_loss_skew,0.008220131
large_weight_var,0.004587204
large_weight_std,0.004422227
large_weight_sem,0.004422227
diff_large_weight_min,0.002616726
large_weight_min,0.000763826
test_turn_bad_mean,nan
test_turn_bad_std,nan
test_turn_bad_skew,nan
test_turn_bad_median,nan
test_turn_bad_var,nan
test_turn_bad_sem,nan
test_turn_bad_max,nan
test_turn_bad_min,nan
sc_accuracy_mean,nan
sc_accuracy_std,nan
sc_accuracy_skew,nan
sc_accuracy_median,nan
sc_accuracy_var,nan
sc_accuracy_sem,nan
sc_accuracy_max,nan
sc_accuracy_min,nan
died_relu_skew,nan
weight_change_little_mean,nan
weight_change_little_std,nan
weight_change_little_skew,nan
weight_change_little_median,nan
weight_change_little_var,nan
weight_change_little_sem,nan
weight_change_little_max,nan
weight_change_little_min,nan
decrease_acc_min,nan
cons_mean_weight_min,nan
cons_std_weight_min,nan
nan_loss_cosine_similarity,nan
test_turn_bad_ks_p,nan
test_turn_bad_cosine_similarity,nan
test_turn_bad_euclidean_distance,nan
test_turn_bad_manhatttan_distance,nan
test_turn_bad_mmd_rbf,nan
sc_accuracy_ks_p,nan
sc_accuracy_cosine_similarity,nan
sc_accuracy_euclidean_distance,nan
sc_accuracy_manhatttan_distance,nan
sc_accuracy_mmd_rbf,nan
nan_gradient_cosine_similarity,nan
nan_weight_cosine_similarity,nan
weight_change_little_ks_p,nan
weight_change_little_cosine_similarity,nan
weight_change_little_euclidean_distance,nan
weight_change_little_manhatttan_distance,nan
weight_change_little_mmd_rbf,nan
decrease_acc_cosine_similarity,nan
increase_loss_mmd_rbf,nan
nan_acc_cosine_similarity,nan
diff_test_turn_bad_mean,nan
diff_test_turn_bad_std,nan
diff_test_turn_bad_skew,nan
diff_test_turn_bad_median,nan
diff_test_turn_bad_var,nan
diff_test_turn_bad_sem,nan
diff_test_turn_bad_max,nan
diff_test_turn_bad_min,nan
diff_sc_accuracy_mean,nan
diff_sc_accuracy_std,nan
diff_sc_accuracy_skew,nan
diff_sc_accuracy_median,nan
diff_sc_accuracy_var,nan
diff_sc_accuracy_sem,nan
diff_sc_accuracy_max,nan
diff_sc_accuracy_min,nan
diff_weight_change_little_mean,nan
diff_weight_change_little_std,nan
diff_weight_change_little_skew,nan
diff_weight_change_little_median,nan
diff_weight_change_little_var,nan
diff_weight_change_little_sem,nan
diff_weight_change_little_max,nan
diff_weight_change_little_min,nan
diff_decrease_acc_min,nan
diff_cons_mean_weight_min,nan
diff_cons_std_weight_min,nan
